Loading HierarchicalGraph from /home/tuero/Documents/cmput-658/a3/PRAStar/scenarios/bg512/AR0042SR.hierarchical_graph.nop
Solution from (202,452), to (201,449). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 13, Generated: 31, Total duration: 4.2629e-05, First move duration: 4.2629e-05
Solution from (66,426), to (67,428). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 15, Generated: 50, Total duration: 5.3095e-05, First move duration: 5.3095e-05
Solution from (338,79), to (335,78). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 15, Generated: 52, Total duration: 4.932e-05, First move duration: 4.932e-05
Solution from (404,214), to (406,212). Optimal cost: 2.82843, Found cost: 2.82843, Expanded: 13, Generated: 39, Total duration: 3.8023e-05, First move duration: 3.8023e-05
Solution from (362,298), to (359,299). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 17, Generated: 59, Total duration: 5.439e-05, First move duration: 5.439e-05
Solution from (178,101), to (179,98). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 13, Generated: 33, Total duration: 4.2379e-05, First move duration: 4.2379e-05
Solution from (218,253), to (218,256). Optimal cost: 3, Found cost: 3, Expanded: 14, Generated: 37, Total duration: 4.1623e-05, First move duration: 4.1623e-05
Solution from (265,80), to (264,79). Optimal cost: 1.41421, Found cost: 1.41421, Expanded: 10, Generated: 24, Total duration: 2.8142e-05, First move duration: 2.8142e-05
Solution from (318,258), to (319,261). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 17, Generated: 61, Total duration: 5.407e-05, First move duration: 5.407e-05
Solution from (185,261), to (183,262). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 10, Generated: 20, Total duration: 2.8062e-05, First move duration: 2.8062e-05
Solution from (318,176), to (317,183). Optimal cost: 7.41421, Found cost: 7.41421, Expanded: 27, Generated: 79, Total duration: 7.5034e-05, First move duration: 7.5034e-05
Solution from (149,248), to (148,242). Optimal cost: 6.41421, Found cost: 6.41421, Expanded: 20, Generated: 56, Total duration: 6.1847e-05, First move duration: 6.1847e-05
Solution from (208,157), to (212,153). Optimal cost: 5.65685, Found cost: 6.24264, Expanded: 17, Generated: 46, Total duration: 4.8402e-05, First move duration: 4.8402e-05
Solution from (232,110), to (231,103). Optimal cost: 7.41421, Found cost: 7.41421, Expanded: 22, Generated: 67, Total duration: 6.8245e-05, First move duration: 6.8245e-05
Solution from (331,21), to (335,21). Optimal cost: 4, Found cost: 4, Expanded: 18, Generated: 44, Total duration: 4.9115e-05, First move duration: 4.9115e-05
Solution from (50,384), to (57,383). Optimal cost: 7.41421, Found cost: 7.41421, Expanded: 24, Generated: 81, Total duration: 7.1648e-05, First move duration: 7.1648e-05
Solution from (351,212), to (352,205). Optimal cost: 7.41421, Found cost: 7.41421, Expanded: 24, Generated: 78, Total duration: 7.5593e-05, First move duration: 7.5593e-05
Solution from (266,372), to (266,367). Optimal cost: 5, Found cost: 5, Expanded: 19, Generated: 64, Total duration: 6.3227e-05, First move duration: 6.3227e-05
Solution from (176,405), to (169,405). Optimal cost: 7, Found cost: 7, Expanded: 23, Generated: 67, Total duration: 6.9582e-05, First move duration: 6.9582e-05
Solution from (231,313), to (234,308). Optimal cost: 6.24264, Found cost: 6.82843, Expanded: 22, Generated: 50, Total duration: 5.2808e-05, First move duration: 5.2808e-05
Solution from (355,114), to (350,122). Optimal cost: 10.0711, Found cost: 13.8284, Expanded: 95, Generated: 209, Total duration: 0.000208935, First move duration: 0.000163741
Solution from (173,239), to (181,234). Optimal cost: 10.0711, Found cost: 11.2426, Expanded: 57, Generated: 145, Total duration: 0.000126548, First move duration: 0.000104578
