Loading HierarchicalGraph from /home/tuero/Documents/cmput-658/a3/PRAStar/scenarios/wc3maps512/bloodvenomfalls.hierarchical_graph.nop
Solution from (394,138), to (397,137). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 17, Generated: 53, Total duration: 6.1214e-05, First move duration: 6.1214e-05
Solution from (337,87), to (336,84). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 17, Generated: 34, Total duration: 4.7373e-05, First move duration: 4.7373e-05
Solution from (138,355), to (138,357). Optimal cost: 2, Found cost: 2, Expanded: 15, Generated: 47, Total duration: 4.5797e-05, First move duration: 4.5797e-05
Solution from (178,83), to (181,83). Optimal cost: 3, Found cost: 3, Expanded: 15, Generated: 31, Total duration: 4.1195e-05, First move duration: 4.1195e-05
Solution from (260,63), to (262,65). Optimal cost: 2.82843, Found cost: 2.82843, Expanded: 13, Generated: 31, Total duration: 3.9363e-05, First move duration: 3.9363e-05
Solution from (339,349), to (338,346). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 13, Generated: 28, Total duration: 3.6062e-05, First move duration: 3.6062e-05
Solution from (239,152), to (238,155). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 20, Generated: 51, Total duration: 5.5571e-05, First move duration: 5.5571e-05
Solution from (383,365), to (385,366). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 14, Generated: 32, Total duration: 3.7219e-05, First move duration: 3.7219e-05
Solution from (224,287), to (227,286). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 13, Generated: 21, Total duration: 2.9874e-05, First move duration: 2.9874e-05
Solution from (172,291), to (173,289). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 15, Generated: 42, Total duration: 4.7871e-05, First move duration: 4.7871e-05
Solution from (417,205), to (422,203). Optimal cost: 6.41421, Found cost: 6.41421, Expanded: 46, Generated: 93, Total duration: 8.8515e-05, First move duration: 6.2262e-05
Solution from (261,133), to (258,137). Optimal cost: 5.24264, Found cost: 5.24264, Expanded: 28, Generated: 78, Total duration: 8.0951e-05, First move duration: 6.4117e-05
Solution from (340,458), to (342,465). Optimal cost: 7.82843, Found cost: 7.82843, Expanded: 47, Generated: 112, Total duration: 0.000114152, First move duration: 7.2181e-05
Solution from (156,204), to (158,197). Optimal cost: 7.82843, Found cost: 7.82843, Expanded: 46, Generated: 102, Total duration: 0.000105552, First move duration: 6.2141e-05
Solution from (283,279), to (284,272). Optimal cost: 7.41421, Found cost: 7.41421, Expanded: 53, Generated: 123, Total duration: 0.00012565, First move duration: 8.26e-05
Solution from (412,413), to (413,417). Optimal cost: 4.41421, Found cost: 4.41421, Expanded: 28, Generated: 53, Total duration: 6.6181e-05, First move duration: 5.0314e-05
Solution from (389,201), to (395,203). Optimal cost: 6.82843, Found cost: 8.82843, Expanded: 61, Generated: 131, Total duration: 0.000123694, First move duration: 7.3818e-05
Solution from (257,302), to (256,295). Optimal cost: 7.41421, Found cost: 8.24264, Expanded: 53, Generated: 103, Total duration: 0.000113241, First move duration: 6.8959e-05
Solution from (409,230), to (403,234). Optimal cost: 7.65685, Found cost: 9.41421, Expanded: 61, Generated: 151, Total duration: 0.000122982, First move duration: 6.4976e-05
Solution from (71,463), to (75,461). Optimal cost: 4.82843, Found cost: 4.82843, Expanded: 26, Generated: 55, Total duration: 7.303e-05, First move duration: 5.6441e-05
Solution from (376,169), to (382,174). Optimal cost: 8.07107, Found cost: 8.65685, Expanded: 51, Generated: 123, Total duration: 0.00011829, First move duration: 7.3717e-05
Solution from (263,443), to (252,443). Optimal cost: 11, Found cost: 11.8284, Expanded: 104, Generated: 283, Total duration: 0.00021081, First move duration: 8.8772e-05
Solution from (418,352), to (419,362). Optimal cost: 10.4142, Found cost: 10.4142, Expanded: 67, Generated: 164, Total duration: 0.000145888, First move duration: 6.934e-05
Solution from (203,397), to (199,405). Optimal cost: 9.65685, Found cost: 10.2426, Expanded: 58, Generated: 168, Total duration: 0.000136921, First move duration: 7.0663e-05
Solution from (127,281), to (118,281). Optimal cost: 9, Found cost: 9.82843, Expanded: 62, Generated: 163, Total duration: 0.000143322, First move duration: 7.7871e-05
Solution from (328,347), to (322,339). Optimal cost: 10.4853, Found cost: 11.0711, Expanded: 78, Generated: 234, Total duration: 0.000172279, First move duration: 8.5924e-05
Solution from (280,181), to (272,185). Optimal cost: 9.65685, Found cost: 10.2426, Expanded: 63, Generated: 158, Total duration: 0.000132414, First move duration: 6.7976e-05
