Loading HierarchicalGraph from /home/tuero/Documents/cmput-658/a3/PRAStar/scenarios/wc3maps512/drywatergulch.hierarchical_graph.nop
Solution from (124,223), to (124,221). Optimal cost: 2, Found cost: 2, Expanded: 11, Generated: 19, Total duration: 2.8924e-05, First move duration: 2.8924e-05
Solution from (399,226), to (401,223). Optimal cost: 3.82843, Found cost: 4.41421, Expanded: 30, Generated: 75, Total duration: 6.3297e-05, First move duration: 5.1359e-05
Solution from (252,306), to (252,308). Optimal cost: 2, Found cost: 2, Expanded: 11, Generated: 18, Total duration: 2.0114e-05, First move duration: 2.0114e-05
Solution from (448,338), to (451,336). Optimal cost: 3.82843, Found cost: 3.82843, Expanded: 13, Generated: 23, Total duration: 2.2859e-05, First move duration: 2.2859e-05
Solution from (290,82), to (290,80). Optimal cost: 2, Found cost: 2, Expanded: 14, Generated: 35, Total duration: 3.22e-05, First move duration: 3.22e-05
Solution from (70,308), to (73,306). Optimal cost: 3.82843, Found cost: 3.82843, Expanded: 26, Generated: 67, Total duration: 5.3775e-05, First move duration: 5.3775e-05
Solution from (66,467), to (63,468). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 16, Generated: 36, Total duration: 3.5143e-05, First move duration: 3.5143e-05
Solution from (337,394), to (338,394). Optimal cost: 1, Found cost: 1, Expanded: 11, Generated: 18, Total duration: 2.0333e-05, First move duration: 2.0333e-05
Solution from (332,448), to (332,446). Optimal cost: 2, Found cost: 2, Expanded: 11, Generated: 18, Total duration: 2.264e-05, First move duration: 2.264e-05
Solution from (119,308), to (121,306). Optimal cost: 2.82843, Found cost: 2.82843, Expanded: 11, Generated: 20, Total duration: 1.8523e-05, First move duration: 1.8523e-05
Solution from (78,284), to (82,278). Optimal cost: 7.65685, Found cost: 8.24264, Expanded: 60, Generated: 144, Total duration: 9.8505e-05, First move duration: 6.3528e-05
Solution from (456,113), to (458,117). Optimal cost: 4.82843, Found cost: 4.82843, Expanded: 28, Generated: 69, Total duration: 5.4765e-05, First move duration: 4.3003e-05
Solution from (182,63), to (176,66). Optimal cost: 7.24264, Found cost: 8.65685, Expanded: 59, Generated: 131, Total duration: 9.5577e-05, First move duration: 6.0652e-05
Solution from (89,150), to (85,145). Optimal cost: 6.65685, Found cost: 6.65685, Expanded: 34, Generated: 60, Total duration: 5.2796e-05, First move duration: 3.7348e-05
Solution from (64,458), to (69,455). Optimal cost: 6.24264, Found cost: 6.24264, Expanded: 36, Generated: 100, Total duration: 7.2719e-05, First move duration: 5.6792e-05
Solution from (133,283), to (130,279). Optimal cost: 5.24264, Found cost: 5.24264, Expanded: 31, Generated: 82, Total duration: 6.2034e-05, First move duration: 5.0649e-05
Solution from (148,285), to (148,291). Optimal cost: 6, Found cost: 6, Expanded: 40, Generated: 84, Total duration: 5.7152e-05, First move duration: 3.9287e-05
Solution from (327,308), to (333,304). Optimal cost: 7.65685, Found cost: 7.65685, Expanded: 39, Generated: 106, Total duration: 7.2975e-05, First move duration: 5.6777e-05
Solution from (421,78), to (418,81). Optimal cost: 4.24264, Found cost: 4.24264, Expanded: 12, Generated: 26, Total duration: 2.7726e-05, First move duration: 2.7726e-05
Solution from (424,71), to (428,69). Optimal cost: 4.82843, Found cost: 4.82843, Expanded: 27, Generated: 60, Total duration: 5.1472e-05, First move duration: 3.9607e-05
Solution from (462,279), to (453,272). Optimal cost: 11.8995, Found cost: 12.4853, Expanded: 76, Generated: 211, Total duration: 0.000125383, First move duration: 5.8924e-05
Solution from (76,179), to (72,186). Optimal cost: 8.65685, Found cost: 9.24264, Expanded: 60, Generated: 149, Total duration: 8.9145e-05, First move duration: 5.3165e-05
Solution from (192,456), to (184,449). Optimal cost: 10.8995, Found cost: 12.0711, Expanded: 74, Generated: 178, Total duration: 0.000128774, First move duration: 6.5102e-05
Solution from (386,73), to (386,62). Optimal cost: 11, Found cost: 12.6569, Expanded: 107, Generated: 257, Total duration: 0.000174009, First move duration: 8.1779e-05
Solution from (142,396), to (145,389). Optimal cost: 8.24264, Found cost: 8.24264, Expanded: 53, Generated: 129, Total duration: 8.8167e-05, First move duration: 5.6132e-05
Solution from (169,164), to (172,171). Optimal cost: 8.24264, Found cost: 8.82843, Expanded: 56, Generated: 142, Total duration: 9.8078e-05, First move duration: 6.5824e-05
Solution from (180,288), to (185,295). Optimal cost: 9.07107, Found cost: 10.2426, Expanded: 71, Generated: 164, Total duration: 0.000105155, First move duration: 6.3533e-05
Solution from (415,214), to (415,224). Optimal cost: 10, Found cost: 10, Expanded: 75, Generated: 197, Total duration: 0.000123087, First move duration: 6.1071e-05
Solution from (264,221), to (263,210). Optimal cost: 11.4142, Found cost: 11.4142, Expanded: 74, Generated: 175, Total duration: 0.00010688, First move duration: 4.6651e-05
Solution from (303,313), to (299,322). Optimal cost: 10.6569, Found cost: 13.4853, Expanded: 102, Generated: 189, Total duration: 0.000129885, First move duration: 6.5939e-05
Solution from (353,436), to (342,443). Optimal cost: 13.8995, Found cost: 13.8995, Expanded: 91, Generated: 294, Total duration: 0.000144694, First move duration: 6.5685e-05
Solution from (463,285), to (452,275). Optimal cost: 15.1421, Found cost: 16.3137, Expanded: 111, Generated: 343, Total duration: 0.000170766, First move duration: 7.1282e-05
Solution from (369,283), to (382,281). Optimal cost: 13.8284, Found cost: 19.4853, Expanded: 166, Generated: 397, Total duration: 0.000211399, First move duration: 7.3584e-05
Solution from (262,272), to (270,260). Optimal cost: 15.3137, Found cost: 15.8995, Expanded: 106, Generated: 283, Total duration: 0.000154889, First move duration: 6.6658e-05
Solution from (280,361), to (279,348). Optimal cost: 13.4142, Found cost: 13.4142, Expanded: 107, Generated: 265, Total duration: 0.000163355, First move duration: 7.2873e-05
Solution from (298,432), to (310,439). Optimal cost: 14.8995, Found cost: 16.3137, Expanded: 148, Generated: 382, Total duration: 0.000232492, First move duration: 8.7708e-05
Solution from (218,399), to (230,390). Optimal cost: 15.7279, Found cost: 17.4853, Expanded: 126, Generated: 342, Total duration: 0.000193026, First move duration: 7.9115e-05
Solution from (142,222), to (154,228). Optimal cost: 14.4853, Found cost: 15.0711, Expanded: 114, Generated: 268, Total duration: 0.000158246, First move duration: 7.0258e-05
Solution from (115,96), to (111,84). Optimal cost: 13.6569, Found cost: 14.4853, Expanded: 113, Generated: 362, Total duration: 0.000172451, First move duration: 8.4877e-05
Solution from (420,411), to (428,402). Optimal cost: 12.3137, Found cost: 13.4853, Expanded: 95, Generated: 237, Total duration: 0.000133622, First move duration: 6.496e-05
Solution from (334,382), to (321,374). Optimal cost: 16.3137, Found cost: 16.8995, Expanded: 110, Generated: 290, Total duration: 0.000164106, First move duration: 6.5267e-05
Solution from (127,384), to (136,399). Optimal cost: 18.7279, Found cost: 19.8995, Expanded: 192, Generated: 538, Total duration: 0.000268931, First move duration: 8.8125e-05
Solution from (445,250), to (447,233). Optimal cost: 17.8284, Found cost: 18.6569, Expanded: 142, Generated: 393, Total duration: 0.000214414, First move duration: 6.2662e-05
Solution from (378,67), to (394,64). Optimal cost: 17.2426, Found cost: 18.0711, Expanded: 148, Generated: 395, Total duration: 0.000212982, First move duration: 7.6445e-05
Solution from (467,260), to (462,277). Optimal cost: 19.0711, Found cost: 19.0711, Expanded: 161, Generated: 453, Total duration: 0.000225846, First move duration: 7.5538e-05
Solution from (300,187), to (285,175). Optimal cost: 19.9706, Found cost: 22.8995, Expanded: 226, Generated: 539, Total duration: 0.0002694, First move duration: 8.6224e-05
Solution from (335,376), to (330,359). Optimal cost: 19.0711, Found cost: 19.0711, Expanded: 163, Generated: 404, Total duration: 0.000209791, First move duration: 7.1228e-05
Solution from (71,294), to (66,280). Optimal cost: 16.0711, Found cost: 16.0711, Expanded: 122, Generated: 297, Total duration: 0.000159532, First move duration: 6.3625e-05
Solution from (386,59), to (376,74). Optimal cost: 19.1421, Found cost: 19.7279, Expanded: 171, Generated: 450, Total duration: 0.000243572, First move duration: 9.288e-05
Solution from (186,122), to (196,132). Optimal cost: 17.0711, Found cost: 17.6569, Expanded: 142, Generated: 304, Total duration: 0.000185456, First move duration: 6.3988e-05
Solution from (227,237), to (221,219). Optimal cost: 20.4853, Found cost: 20.4853, Expanded: 180, Generated: 467, Total duration: 0.000239474, First move duration: 7.2581e-05
Solution from (384,302), to (371,285). Optimal cost: 22.3848, Found cost: 24.1421, Expanded: 221, Generated: 665, Total duration: 0.000301117, First move duration: 9.3637e-05
Solution from (350,229), to (331,219). Optimal cost: 23.1421, Found cost: 35.4853, Expanded: 414, Generated: 952, Total duration: 0.000461944, First move duration: 8.4644e-05
Solution from (174,398), to (164,417). Optimal cost: 23.1421, Found cost: 31.6274, Expanded: 387, Generated: 838, Total duration: 0.000459816, First move duration: 0.000106986
Solution from (445,442), to (458,425). Optimal cost: 22.3848, Found cost: 24.1421, Expanded: 248, Generated: 601, Total duration: 0.000324548, First move duration: 9.0046e-05
Solution from (188,180), to (202,195). Optimal cost: 21.3848, Found cost: 21.9706, Expanded: 173, Generated: 471, Total duration: 0.000239656, First move duration: 8.3091e-05
Solution from (332,112), to (321,94). Optimal cost: 22.5563, Found cost: 28.0711, Expanded: 289, Generated: 682, Total duration: 0.000365186, First move duration: 7.1307e-05
Solution from (167,299), to (157,283). Optimal cost: 20.1421, Found cost: 20.7279, Expanded: 176, Generated: 483, Total duration: 0.000248424, First move duration: 8.9059e-05
Solution from (224,345), to (206,354). Optimal cost: 21.7279, Found cost: 21.7279, Expanded: 166, Generated: 477, Total duration: 0.000228376, First move duration: 6.8312e-05
Solution from (178,403), to (176,383). Optimal cost: 20.8284, Found cost: 20.8284, Expanded: 172, Generated: 469, Total duration: 0.00024494, First move duration: 7.2065e-05
Solution from (210,372), to (193,352). Optimal cost: 27.0416, Found cost: 29.3848, Expanded: 312, Generated: 847, Total duration: 0.000395374, First move duration: 0.000103745
Solution from (384,279), to (386,252). Optimal cost: 27.8284, Found cost: 30.3137, Expanded: 320, Generated: 863, Total duration: 0.000408443, First move duration: 8.8481e-05
Solution from (421,355), to (445,348). Optimal cost: 26.8995, Found cost: 31.1421, Expanded: 386, Generated: 903, Total duration: 0.000430273, First move duration: 9.6982e-05
Solution from (301,273), to (280,288). Optimal cost: 27.2132, Found cost: 27.2132, Expanded: 210, Generated: 582, Total duration: 0.000327346, First move duration: 8.6505e-05
