Loading HierarchicalGraph from /home/tuero/Documents/cmput-658/a3/PRAStar/scenarios/wc3maps512/plainsofsnow.hierarchical_graph.nop
Solution from (360,212), to (359,209). Optimal cost: 3.41421, Found cost: 3.41421, Expanded: 14, Generated: 39, Total duration: 4.7762e-05, First move duration: 4.7762e-05
Solution from (83,210), to (82,210). Optimal cost: 1, Found cost: 1, Expanded: 10, Generated: 24, Total duration: 2.9454e-05, First move duration: 2.9454e-05
Solution from (317,383), to (319,386). Optimal cost: 3.82843, Found cost: 3.82843, Expanded: 15, Generated: 40, Total duration: 4.0638e-05, First move duration: 4.0638e-05
Solution from (128,435), to (127,433). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 14, Generated: 44, Total duration: 4.7394e-05, First move duration: 4.7394e-05
Solution from (367,293), to (366,293). Optimal cost: 1, Found cost: 1, Expanded: 8, Generated: 8, Total duration: 1.9442e-05, First move duration: 1.9442e-05
Solution from (344,327), to (345,325). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 11, Generated: 26, Total duration: 2.9595e-05, First move duration: 2.9595e-05
Solution from (110,237), to (112,240). Optimal cost: 3.82843, Found cost: 3.82843, Expanded: 18, Generated: 63, Total duration: 5.8712e-05, First move duration: 5.8712e-05
Solution from (401,141), to (399,142). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 12, Generated: 31, Total duration: 3.555e-05, First move duration: 3.555e-05
Solution from (149,253), to (148,253). Optimal cost: 1, Found cost: 1, Expanded: 8, Generated: 8, Total duration: 1.7954e-05, First move duration: 1.7954e-05
Solution from (84,442), to (86,441). Optimal cost: 2.41421, Found cost: 2.41421, Expanded: 10, Generated: 20, Total duration: 2.8468e-05, First move duration: 2.8468e-05
Solution from (339,348), to (339,342). Optimal cost: 6, Found cost: 6, Expanded: 18, Generated: 47, Total duration: 5.1308e-05, First move duration: 5.1308e-05
Solution from (260,163), to (257,160). Optimal cost: 4.24264, Found cost: 4.24264, Expanded: 17, Generated: 56, Total duration: 5.2052e-05, First move duration: 5.2052e-05
Solution from (128,109), to (129,103). Optimal cost: 6.41421, Found cost: 6.41421, Expanded: 22, Generated: 71, Total duration: 6.8982e-05, First move duration: 6.8982e-05
Solution from (258,330), to (257,323). Optimal cost: 7.41421, Found cost: 8.24264, Expanded: 31, Generated: 86, Total duration: 7.7277e-05, First move duration: 7.7277e-05
Solution from (171,177), to (173,183). Optimal cost: 6.82843, Found cost: 6.82843, Expanded: 23, Generated: 76, Total duration: 7.055e-05, First move duration: 7.055e-05
Solution from (362,74), to (357,79). Optimal cost: 7.07107, Found cost: 7.07107, Expanded: 18, Generated: 62, Total duration: 7.0467e-05, First move duration: 7.0467e-05
Solution from (414,441), to (412,448). Optimal cost: 7.82843, Found cost: 8.41421, Expanded: 36, Generated: 86, Total duration: 8.7187e-05, First move duration: 7.4624e-05
Solution from (366,77), to (370,75). Optimal cost: 4.82843, Found cost: 4.82843, Expanded: 20, Generated: 66, Total duration: 5.9938e-05, First move duration: 5.9938e-05
Solution from (275,146), to (275,141). Optimal cost: 5, Found cost: 5, Expanded: 15, Generated: 37, Total duration: 3.7184e-05, First move duration: 3.7184e-05
Solution from (146,320), to (150,315). Optimal cost: 6.65685, Found cost: 7.24264, Expanded: 25, Generated: 71, Total duration: 6.9568e-05, First move duration: 6.9568e-05
Solution from (192,127), to (202,127). Optimal cost: 10, Found cost: 10, Expanded: 39, Generated: 116, Total duration: 9.5479e-05, First move duration: 7.6871e-05
Solution from (94,140), to (97,148). Optimal cost: 9.24264, Found cost: 10.4142, Expanded: 75, Generated: 169, Total duration: 0.000157254, First move duration: 0.000128473
Solution from (354,281), to (358,288). Optimal cost: 8.65685, Found cost: 8.65685, Expanded: 23, Generated: 72, Total duration: 6.4104e-05, First move duration: 6.4104e-05
Solution from (281,348), to (276,356). Optimal cost: 10.0711, Found cost: 11.8284, Expanded: 60, Generated: 155, Total duration: 0.000124272, First move duration: 9.5568e-05
